		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
111000010  236  259  211  238  260  230  253  252  8.534244 0.383095 SUCCESS 119
111000100  257  257  242  234  217  229  246  241  6.000714 0.647152 SUCCESS 120
111000110  254  211  274  265  251  241  222  237 13.220001 0.104501 SUCCESS 121
111001000  234  249  242  266  256  232  240  237  4.088917 0.849013 SUCCESS 122
111001010  236  243  216  259  255  232  248  270  8.597794 0.377352 SUCCESS 123
111001100  222  248  240  262  235  240  256  244  4.585666 0.800803 SUCCESS 124
111010000  233  242  242  220  236  247  262  221  6.962439 0.540691 SUCCESS 125
111010010  253  218  265  230  217  246  234  258 10.298817 0.244676 SUCCESS 126
111010100  235  234  244  274  242  247  267  275 10.878182 0.208698 SUCCESS 127
111010110  257  227  228  244  238  252  256  235  4.418318 0.817548 SUCCESS 128
111011000  277  223  257  265  239  259  243  269 12.693595 0.122836 SUCCESS 129
111011010  232  254  239  278  253  251  250  237  6.904185 0.547005 SUCCESS 130
111011100  228  263  240  236  233  210  217  242 11.557108 0.172085 SUCCESS 131
111100000  241  235  265  237  251  240  245  245  2.734241 0.949913 SUCCESS 132
111100010  224  242  247  235  214  231  251  237  7.112841 0.524508 SUCCESS 133
111100100  239  235  233  241  249  251  220  247  3.831539 0.871994 SUCCESS 134
111100110  221  249  229  255  242  255  249  244  4.457507 0.813669 SUCCESS 135
111101000  237  229  217  247  225  252  257  242  6.870291 0.550690 SUCCESS 136
111101010  224  229  246  271  260  259  237  252  8.242972 0.410103 SUCCESS 137
111101100  271  240  228  244  232  236  253  247  5.505024 0.702483 SUCCESS 138
111101110  237  232  253  261  266  237  239  247  4.766784 0.782187 SUCCESS 139
111110000  242  244  237  256  272  227  256  232  6.586434 0.581837 SUCCESS 140
111110010  240  254  226  239  236  244  236  267  4.764666 0.782407 SUCCESS 141
111110100  254  226  236  214  240  245  234  247  6.474162 0.594275 SUCCESS 142
111110110  235  258  217  252  241  251  249  258  5.706266 0.680096 SUCCESS 143
111111000  240  230  245  255  248  235  245  198 10.854880 0.210058 SUCCESS 144
111111010  256  243  214  240  250  257  251  245  5.571752 0.695078 SUCCESS 145
111111100  236  238  239  233  243  250  257  262  3.281831 0.915447 SUCCESS 146
111111110  248  248  218  254  227  229  231  292 16.083991 0.041194 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  209  261  254  234  251  212  256  255 12.952032 0.113511 SUCCESS   0
000000011  256  253  228  260  274  245  230  270 10.566786 0.227474 SUCCESS   1
000000101  220  260  263  241  254  230  268  237  8.972739 0.344601 SUCCESS   2
000000111  250  262  227  246  236  257  244  221  6.004951 0.646677 SUCCESS   3
000001001  247  236  255  237  248  219  227  219  7.685850 0.464743 SUCCESS   4
000001011  248  251  270  240  238  228  228  253  5.868319 0.661979 SUCCESS   5
000001101  240  268  243  250  250  253  239  274  7.011160 0.535429 SUCCESS   6
000001111  234  246  243  229  245  244  242  230  2.291509 0.970746 SUCCESS   7
000010001  258  270  253  229  249  243  216  224 10.128291 0.256137 SUCCESS   8
000010011  263  225  256  284  241  227  244  231 12.406561 0.133965 SUCCESS   9
000010101  222  236  253  268  259  236  264  233  8.517297 0.384635 SUCCESS  10
000010111  258  232  252  258  228  259  254  228  6.070620 0.639322 SUCCESS  11
000011001  254  216  228  238  246  271  234  227  9.776647 0.281054 SUCCESS  12
000011011  257  263  240  267  249  258  238  230  6.421204 0.600160 SUCCESS  13
000011101  243  255  246  243  221  248  240  255  3.429055 0.904625 SUCCESS  14
000011111  246  242  242  229  250  259  267  245  4.326170 0.826562 SUCCESS  15
000100011  228  246  248  232  233  236  209  239  7.945346 0.438827 SUCCESS  16
000100101  255  263  236  246  250  243  217  252  5.836543 0.665536 SUCCESS  17
000100111  238  225  226  284  237  230  254  229 12.279460 0.139164 SUCCESS  18
000101001  226  272  250  221  238  249  217  229 11.441659 0.177908 SUCCESS  19
000101011  248  263  256  263  235  223  266  245  7.953820 0.437994 SUCCESS  20
000101101  241  213  257  248  247  228  228  297 18.994584 0.014889 SUCCESS  21
000101111  263  265  234  269  225  258  225  223 12.216970 0.141783 SUCCESS  22
000110011  262  212  254  230  245  256  226  231  9.706742 0.286215 SUCCESS  23
000110101  265  246  256  237  246  254  269  245  5.726390 0.677849 SUCCESS  24
000110111  247  250  271  257  256  265  232  235  7.362804 0.498042 SUCCESS  25
000111001  250  219  239  255  265  234  262  267  9.284134 0.318897 SUCCESS  26
000111011  243  247  252  232  225  254  248  250  3.098595 0.928019 SUCCESS  27
000111101  224  260  247  235  216  244  248  231  7.316201 0.502933 SUCCESS  28
000111111  258  244  243  224  251  247  289  240 11.375990 0.181291 SUCCESS  29
001000011  247  240  232  222  239  215  270  262 10.699182 0.219333 SUCCESS  30
001000101  245  238  244  254  255  262  234  225  4.414081 0.817966 SUCCESS  31
001000111  228  230  242  255  249  254  225  204 11.351630 0.182560 SUCCESS  32
001001011  250  244  241  237  225  238  259  234  3.483073 0.900499 SUCCESS  33
001001101  226  217  268  270  216  245  226  258 15.322449 0.053171 SUCCESS  34
001001111  223  214  233  250  239  226  255  219 11.084719 0.196945 SUCCESS  35
001010011  242  285  244  233  253  239  247  250  8.248268 0.409602 SUCCESS  36
001010101  230  250  245  232  264  226  236  220  7.428473 0.491186 SUCCESS  37
001010111  222  245  244  259  241  226  248  251  4.711707 0.787898 SUCCESS  38
001011011  242  224  233  249  235  237  238  279  8.239795 0.410404 SUCCESS  39
001011101  210  212  237  234  258  229  263  233 13.773946 0.087851 SUCCESS  40
001011111  260  244  230  251  242  244  231  243  2.867696 0.942384 SUCCESS  41
001100101  217  230  225  247  240  238  248  238  6.000714 0.647152 SUCCESS  42
001100111  263  225  260  242  242  240  243  221  6.508056 0.590514 SUCCESS  43
001101011  259  255  236  258  240  249  266  248  4.797500 0.778984 SUCCESS  44
001101101  238  270  242  257  251  280  268  256 12.382200 0.134948 SUCCESS  45
001101111  228  231  290  237  240  244  237  256 11.847320 0.158147 SUCCESS  46
001110101  249  235  203  252  223  261  228  231 12.810103 0.118553 SUCCESS  47
001110111  271  287  251  242  265  259  276  250 18.301888 0.019074 SUCCESS  48
001111011  249  247  244  249  210  233  240  266  7.793885 0.453859 SUCCESS  49
001111101  248  228  232  226  271  221  245  219 11.183222 0.191532 SUCCESS  50
001111111  257  259  247  262  247  233  262  246  4.956375 0.762228 SUCCESS  51
010000011  213  236  230  253  248  264  227  238  8.701592 0.368091 SUCCESS  52
010000111  215  268  248  235  242  233  274  275 14.788629 0.063388 SUCCESS  53
010001011  251  234  228  274  253  236  229  250  7.246296 0.510307 SUCCESS  54
010001111  208  245  262  222  261  243  235  203 17.689689 0.023677 SUCCESS  55
010010011  233  230  234  254  250  242  226  243  3.779640 0.876438 SUCCESS  56
010010111  226  227  235  242  235  229  271  232  8.011015 0.432395 SUCCESS  57
010011011  209  239  277  262  227  251  241  269 15.376467 0.052226 SUCCESS  58
010011111  243  250  215  267  244  229  241  235  7.325733 0.501931 SUCCESS  59
010100011  248  225  239  234  250  256  238  223  4.952138 0.762679 SUCCESS  60
010100111  249  275  234  231  256  267  252  257  9.082892 0.335352 SUCCESS  61
010101011  237  234  234  241  266  245  245  233  3.683256 0.884511 SUCCESS  62
010101111  246  247  224  237  244  218  285  247 11.986071 0.151826 SUCCESS  63
010110011  264  264  250  236  244  277  224  249 10.168539 0.253395 SUCCESS  64
010110111  265  246  248  243  236  243  243  249  2.321166 0.969549 SUCCESS  65
010111011  201  220  231  243  285  243  250  226 19.702108 0.011524 SUCCESS  66
010111111  273  238  218  245  226  220  258  270 14.095933 0.079299 SUCCESS  67
011000111  217  248  252  242  263  256  261  239  6.887238 0.548846 SUCCESS  68
011001111  265  235  254  258  255  252  210  259 10.062623 0.260658 SUCCESS  69
011010111  254  226  264  255  244  263  250  271  8.695237 0.368654 SUCCESS  70
011011111  223  231  286  248  250  223  239  273 15.793779 0.045429 SUCCESS  71
011101111  248  245  242  245  253  284  256  229  8.725953 0.365939 SUCCESS  72
011111111  272  236  252  247  235  237  265  273  9.815836 0.278191 SUCCESS  73
100000000  209  261  254  234  251  212  256  255 12.952032 0.113511 SUCCESS  74
100010000  259  249  233  245  254  257  292  247 12.426685 0.133157 SUCCESS  75
100100000  249  246  252  254  250  241  211  229  6.597026 0.580667 SUCCESS  76
100101000  249  239  254  238  235  228  230  264  4.757252 0.783178 SUCCESS  77
100110000  263  239  217  240  236  257  222  233  8.390197 0.396312 SUCCESS  78
100111000  257  247  247  254  231  242  236  254  2.627265 0.955532 SUCCESS  79
101000000  223  238  243  230  260  232  253  237  5.139611 0.742555 SUCCESS  80
101000100  242  219  242  263  265  228  218  226 11.453310 0.177313 SUCCESS  81
101001000  221  264  229  239  236  266  235  225  9.229058 0.323343 SUCCESS  82
101001100  248  248  267  264  203  240  256  247 11.887568 0.156291 SUCCESS  83
101010000  242  231  233  252  202  235  251  251  9.807363 0.278808 SUCCESS  84
101010100  242  242  256  240  249  257  262  239  2.975732 0.935871 SUCCESS  85
101011000  242  261  250  233  259  245  245  250  2.986323 0.935213 SUCCESS  86
101011100  258  245  250  253  254  226  226  244  4.495637 0.809869 SUCCESS  87
101100000  254  252  265  247  229  235  222  244  5.953052 0.652491 SUCCESS  88
101100100  245  227  231  235  260  224  256  270  8.545894 0.382038 SUCCESS  89
101101000  229  256  239  262  243  240  247  213  7.248414 0.510083 SUCCESS  90
101101100  256  239  234  220  240  248  233  265  6.115105 0.634340 SUCCESS  91
101110000  266  271  267  264  237  231  225  239 11.583587 0.170772 SUCCESS  92
101110100  216  259  252  245  232  222  251  219 10.126173 0.256282 SUCCESS  93
101111000  251  260  281  245  271  273  263  231 15.863684 0.044373 SUCCESS  94
101111100  229  235  239  243  243  235  243  240  1.874197 0.984629 SUCCESS  95
110000000  245  254  240  273  267  248  232  242  6.943374 0.542754 SUCCESS  96
110000010  244  265  271  244  252  237  237  226  6.991036 0.537600 SUCCESS  97
110000100  279  225  258  250  243  224  215  224 14.695422 0.065345 SUCCESS  98
110001000  256  238  231  255  229  261  274  252  8.206961 0.413519 SUCCESS  99
110001010  258  264  245  222  250  245  233  219  7.914630 0.441853 SUCCESS 100
110010000  247  235  227  248  225  210  243  261  9.388992 0.310551 SUCCESS 101
110010010  245  232  241  238  269  246  251  250  3.809297 0.873906 SUCCESS 102
110010100  239  239  224  234  228  238  229  236  4.882233 0.770086 SUCCESS 103
110011000  274  215  224  230  234  253  224  230 13.265546 0.103034 SUCCESS 104
110011010  256  240  248  267  249  267  262  272  9.913280 0.271165 SUCCESS 105
110100000  215  253  243  230  276  240  236  237  9.649547 0.290489 SUCCESS 106
110100010  249  249  230  264  255  225  208  237 10.514887 0.230729 SUCCESS 107
110100100  223  260  233  247  209  250  250  250  9.183513 0.327052 SUCCESS 108
110101000  247  222  217  279  222  234  263  252 14.659410 0.066116 SUCCESS 109
110101010  249  226  245  249  251  276  271  252  9.423944 0.307803 SUCCESS 110
110101100  240  272  238  240  268  259  256  260  8.612622 0.376020 SUCCESS 111
110110000  254  243  241  228  225  255  240  250  3.830480 0.872085 SUCCESS 112
110110010  239  220  251  217  251  266  231  269 11.473434 0.176289 SUCCESS 113
110110100  238  229  222  271  224  236  250  232  9.026757 0.340044 SUCCESS 114
110111000  254  262  262  256  236  246  250  232  4.781612 0.780642 SUCCESS 115
110111010  239  250  233  230  232  246  241  215  5.900094 0.658422 SUCCESS 116
110111100  246  245  281  226  261  282  234  234 15.323508 0.053152 SUCCESS 117
111000000  237  275  256  229  279  248  222  240 13.182930 0.105709 SUCCESS 118
111000010  244  202  254  271  241  256  223  242 13.539870 0.094575 SUCCESS 119
111000100  240  231  247  258  240  251  258  275  6.779203 0.560632 SUCCESS 120
111000110  260  270  264  236  235  254  263  240  8.204842 0.413721 SUCCESS 121
111001000  248  250  241  250  259  220  246  243  3.820947 0.872906 SUCCESS 122
111001010  251  231  242  227  250  228  244  231  4.169414 0.841524 SUCCESS 123
111001100  242  211  245  240  229  236  237  243  6.212548 0.623437 SUCCESS 124
111010000  213  243  250  244  254  216  245  239  8.134937 0.420401 SUCCESS 125
111010010  218  245  242  244  238  254  243  245  3.494724 0.899599 SUCCESS 126
111010100  244  213  218  262  228  256  250  238 10.353894 0.241060 SUCCESS 127
111010110  249  251  245  244  249  258  241  254  1.675074 0.989406 SUCCESS 128
111011000  254  225  241  232  231  248  247  253  3.789172 0.875626 SUCCESS 129
111011010  251  233  228  257  214  237  264  234  8.696296 0.368560 SUCCESS 130
111011100  236  263  251  245  273  224  261  242  8.466457 0.389280 SUCCESS 131
111100000  226  247  267  239  289  244  212  218 19.550647 0.012177 SUCCESS 132
111100010  229  255  255  254  273  258  248  244  6.796149 0.558778 SUCCESS 133
111100100  256  241  226  251  241  233  230  248  3.705498 0.882669 SUCCESS 134
111100110  235  254  251  240  220  229  262  246  5.841839 0.664943 SUCCESS 135
111101000  220  239  234  218  236  228  236  256  8.161417 0.417864 SUCCESS 136
111101010  260  233  230  230  254  235  250  244  4.194834 0.839131 SUCCESS 137
111101100  250  225  241  234  254  267  254  253  5.548450 0.697666 SUCCESS 138
111101110  240  245  243  240  236  235  242  251  1.004621 0.998219 SUCCESS 139
111110000  238  227  266  266  248  257  227  234  7.898743 0.443423 SUCCESS 140
